Iteration,return_max,return_mean,return_min,return_std
0,-978,-984,-988,4.2
227,-928,-967,-986,22.5
454,-957,-973,-990,10.8
681,-935,-953,-972,13.5
908,-953,-966,-972,6.73
1135,-805,-925,-972,63.5
1362,-901,-913,-924,7.98
1589,-851,-938,-972,45.7
1816,-801,-869,-960,73.4
2043,-823,-901,-974,63.1
2270,-756,-914,-964,79.1
2497,-631,-739,-936,121
2724,-837,-895,-965,55.7
2951,-819,-930,-969,56.6
3178,-830,-835,-838,2.74
3405,-815,-906,-970,70.2
3632,-542,-777,-960,193
3859,-371,-677,-938,212
4086,-815,-828,-838,7.69
4313,-784,-834,-948,58.1
4540,-815,-900,-960,65.9
4767,-781,-807,-831,17.1
4994,-736,-913,-965,88.7
5221,-820,-932,-970,56.1
5448,-838,-841,-844,2.35
5675,-827,-830,-832,2.17
5902,-957,-964,-972,4.88
6129,-841,-844,-846,1.59
6356,-826,-837,-844,6.95
6583,-770,-797,-822,20.1
6810,-686,-828,-967,89.6
7037,-545,-774,-967,135
7264,-487,-868,-969,190
7491,-804,-828,-838,12.5
7718,-838,-843,-849,4.41
7945,-790,-806,-826,12.4
8172,-834,-862,-965,51.5
8399,-506,-751,-951,192
8626,-948,-957,-964,6.54
8853,-812,-868,-949,62.4
9080,-827,-837,-843,5.7
9307,-937,-957,-970,11.2
9534,-362,-732,-844,187
9761,-830,-843,-848,6.38
9988,-829,-860,-965,52.6
10215,-793,-871,-958,71
10442,-771,-888,-964,81.9
10669,-789,-817,-830,16.5
10896,-815,-905,-970,71.5
11123,-788,-825,-837,18.3
11350,-773,-828,-954,66.2
11577,-356,-732,-840,188
11804,-540,-846,-974,164
12031,-822,-857,-965,54.4
12258,-827,-858,-972,57.1
12485,-771,-800,-813,15.4
12712,-822,-857,-943,44
12939,-507,-840,-965,173
13166,-790,-873,-966,71.3
13393,-811,-899,-972,59.1
13620,-820,-927,-964,54.6
13847,-808,-835,-873,30.9
14074,-812,-879,-965,68.7
14301,-830,-837,-843,4.55
14528,-492,-698,-827,152
14755,-822,-834,-842,7.05
14982,-835,-838,-840,1.82
15209,-648,-869,-974,124
15436,-794,-840,-947,54.5
15663,-781,-817,-835,19.3
15890,-814,-878,-974,73.7
16117,-832,-839,-845,4.28
16344,-685,-794,-837,55.9
16571,-767,-811,-848,32.6
16798,-507,-840,-968,173
17025,-810,-826,-845,12
17252,-794,-829,-840,17.6
17479,-795,-824,-930,52.7
17706,-821,-832,-846,8.84
17933,-818,-901,-966,65.3
18160,-822,-889,-969,63.2
18387,-966,-971,-978,4.38
18614,-539,-802,-951,147
18841,-813,-903,-972,68
19068,-822,-871,-938,52.1
19295,-776,-818,-834,21.7
19522,-802,-930,-966,63.9
19749,-537,-872,-971,168
19976,-776,-802,-817,15.3
20203,-944,-959,-969,8.71
20430,-826,-931,-968,53.1
20657,-789,-905,-965,74.2
20884,-815,-855,-969,57.5
21111,-829,-883,-960,60.1
21338,-815,-846,-957,55.5
21565,-948,-959,-973,10.6
21792,-772,-921,-970,74.9
22019,-827,-908,-969,63.3
22246,-803,-843,-964,61.2
22473,-528,-808,-969,159
22700,-817,-875,-960,66.6
22927,-827,-866,-962,48.4
23154,-743,-870,-964,99.5
23381,-825,-937,-975,56.4
23608,-689,-908,-969,110
23835,-824,-881,-971,65.2
24062,-813,-850,-950,51.2
24289,-724,-839,-954,97.2
24516,-781,-892,-974,84.2
24743,-767,-866,-974,80.6
24970,-954,-962,-974,7.18
25197,-348,-749,-944,206
25424,-804,-865,-940,57.4
25651,-495,-781,-968,155
25878,-411,-815,-962,205
26105,-785,-855,-954,80.4
