#{"t_start": 1763588585.6588113, "env_id": "None"}
r,l,t
-997.1,15,0.661191
-995.0,16,0.663129
-993.1,19,0.668266
-992.1,20,0.669968
-987.5,29,0.685052
-985.7,33,0.691644
-993.3,21,0.697049
-983.0,39,0.702181
-991.5,25,0.711131
-989.3,25,0.735315
-973.9,58,0.73538
-988.4,27,0.745324
-988.3,26,0.761824
-971.0,73,0.768228
-995.1,17,0.772645
-974.2,61,0.783482
-989.3,25,0.78698
-961.4,87,0.793955
-972.3,64,0.804127
-984.9,36,0.813429
-985.6,32,0.818252
-972.4,65,0.822221
-988.4,27,0.833744
-984.9,36,0.846323
-990.3,24,0.846382
-982.3,43,0.848181
-992.2,21,0.861758
-994.0,17,0.865882
-981.4,45,0.87632
-974.2,61,0.880203
-996.0,15,0.891298
-987.6,30,0.904941
-979.8,51,0.910747
-987.0,35,0.914518
-994.0,17,0.92365
-989.4,26,0.929943
-983.0,39,0.941482
-984.9,36,0.945724
-990.4,25,0.960924
-989.3,25,0.965239
-969.0,75,0.965302
-993.1,19,0.984311
-983.8,36,0.996436
-989.6,28,0.998432
-923.2999,179,1.000261
-970.5,79,1.004096
-978.7,51,1.006123
-992.4,23,1.027397
-984.7,34,1.029247
-978.0,55,1.036717
-992.3,22,1.038852
-987.5,29,1.049788
-995.0,16,1.057373
-979.7,50,1.059339
-987.6,30,1.061241
-985.8,34,1.066924
-991.1,21,1.068946
-989.4,26,1.087352
-989.7,29,1.090603
-969.7,71,1.094099
-993.9,16,1.095984
-989.2,24,1.104855
-992.1,20,1.122442
-980.2,44,1.129397
-981.5,46,1.141944
-989.7,29,1.142019
-987.5,29,1.146044
-965.6,85,1.155457
-980.7,49,1.157532
-992.0,19,1.157573
-993.2,20,1.166554
-974.8,67,1.179796
-993.2,20,1.183389
-980.3,45,1.18716
-991.1,21,1.196337
-992.1,20,1.202972
-985.9,35,1.206761
-988.5,28,1.208823
-987.2,37,1.21068
-994.0,17,1.21072
-994.1,18,1.220082
-993.0,18,1.244598
-994.9,15,1.249095
-992.2,21,1.249163
-962.2,84,1.251462
-982.8,37,1.280207
-995.0,16,1.282421
-976.6,52,1.285737
-990.1,22,1.296749
-974.9,57,1.311888
-993.9,16,1.316531
-984.9,36,1.330809
-994.0,17,1.335829
-988.5,28,1.34981
-956.0,99,1.359324
-992.0,19,1.375679
-991.3,23,1.389122
-986.7,32,1.391346
-972.9,70,1.40103
-991.1,21,1.405606
-987.6,30,1.415172
-959.5,101,1.419045
-994.9,15,1.420894
-994.9,15,1.433122
-954.69995,108,1.438505
-985.6,32,1.449345
-995.0,16,1.469479
-961.6,89,1.471365
-988.6,29,1.47315
-985.7,33,1.477553
-973.4,64,1.502675
-987.5,29,1.509078
-993.2,20,1.510992
-976.0,57,1.513541
-990.1,22,1.524402
-977.7,52,1.537884
-972.0,61,1.541344
-984.0,38,1.548983
-994.0,17,1.556366
-988.4,27,1.565746
-995.0,16,1.5715
-984.2,40,1.588787
-989.5,27,1.598905
-976.7,64,1.598967
-992.0,19,1.600768
-977.7,52,1.602656
-993.1,19,1.606744
-984.0,38,1.608775
-937.7999,148,1.613071
-976.3,60,1.623698
-985.3,40,1.63035
-990.4,25,1.650592
-986.9,34,1.661788
-990.2,23,1.663921
-985.7,33,1.667809
-982.1,41,1.6783
-980.3,45,1.682537
-981.0,52,1.685078
-975.9,56,1.707126
-977.7,52,1.712894
-990.2,23,1.717568
-994.1,18,1.722798
-990.3,24,1.729021
-987.8,32,1.731169
-990.4,25,1.73546
-974.0,59,1.747969
-991.1,21,1.764474
-976.7,53,1.769908
-985.8,34,1.778393
-993.1,19,1.781737
-989.6,28,1.783743
-984.8,35,1.783788
-986.8,33,1.796124
-990.3,24,1.808045
-994.1,18,1.816233
-993.1,19,1.820188
-992.3,22,1.826035
-976.9,55,1.834578
-970.5,68,1.838521
-984.9,36,1.838575
-955.5,105,1.86027
-991.2,22,1.863215
-992.2,21,1.86558
-984.7,34,1.867858
-979.8,51,1.881038
-981.1,42,1.894386
-994.5,22,1.9059
-989.4,26,1.918232
-981.2,43,1.927963
-996.8,12,1.94579
-981.0,41,1.955514
-985.8,34,1.958024
-982.2,42,1.960628
-987.6,30,1.965731
-975.9,67,1.987747
-966.9,76,1.993628
-985.6,32,2.017793
-964.1,81,2.017866
-987.2,37,2.044598
-986.6,31,2.052114
-981.5,46,2.058724
-992.1,20,2.058784
-978.5,49,2.060962
-992.2,21,2.061012
-973.5,65,2.067845
-993.1,19,2.080493
-994.1,18,2.090796
-991.3,23,2.100165
-967.0,77,2.113283
-972.10004,62,2.115293
-983.7,35,2.117563
-957.3,101,2.117635
-997.0,14,2.117652
-995.0,16,2.13212
-982.2,42,2.145913
-995.2,18,2.149684
-981.9,39,2.153623
-978.7,51,2.155518
-991.5,25,2.160584
-989.3,25,2.177795
-994.1,18,2.184488
-993.0,18,2.190113
-989.5,27,2.19792
-966.9,76,2.203652
-990.3,24,2.207495
-979.9,52,2.21804
-977.7,52,2.218104
-983.0,39,2.230818
-990.3,24,2.238045
-993.3,21,2.246027
-984.8,35,2.248178
-985.5,31,2.260411
-994.8,14,2.26653
-989.6,28,2.274337
-966.7,85,2.283959
-976.7,53,2.290368
-995.0,16,2.304315
-979.7,50,2.306243
-985.5,31,2.308162
-981.1,42,2.311835
-978.6,50,2.315194
-990.2,23,2.346425
-990.3,24,2.350286
-981.1,53,2.362345
-995.0,16,2.374029
-983.2,41,2.375796
-969.7,71,2.387928
-981.3,44,2.387978
-974.4,63,2.399347
-993.1,19,2.405872
-994.0,17,2.415962
-987.5,29,2.423768
-965.3,82,2.425727
-955.39996,104,2.431057
-982.2,42,2.432929
-970.7,70,2.434679
-983.8,36,2.459584
-988.6,29,2.473118
-970.2,76,2.478951
-979.2,56,2.482395
-988.3,26,2.519785
-978.7,51,2.519847
-970.5,68,2.523216
-978.4,59,2.528137
-984.7,34,2.54155
-991.2,22,2.556138
-990.2,23,2.566122
-995.0,16,2.568195
-988.5,28,2.570707
-977.8,53,2.570789
-986.1,37,2.584252
-995.0,16,2.586176
-953.1,103,2.595383
-958.8,94,2.59737
-963.2,83,2.605577
-993.1,19,2.605621
-994.3,20,2.607394
-991.4,24,2.610617
-953.39996,106,2.619826
-991.2,22,2.625992
-995.1,17,2.628148
-989.3,25,2.63013
-991.2,22,2.63612
-984.0,38,2.640468
-991.9,18,2.640527
-993.2,20,2.645765
-993.3,21,2.660996
-987.5,29,2.678791
-992.4,23,2.680554
-989.4,26,2.682266
-986.6,31,2.693218
-980.4,46,2.710378
-985.4,41,2.715585
-975.4,62,2.720692
-988.6,29,2.729096
-982.9,38,2.741679
-969.7,71,2.750112
-983.4,43,2.753593
-982.8,37,2.755472
-964.6,86,2.755513
-978.4,59,2.759262
-984.6,33,2.765786
-990.2,23,2.76758
-986.7,32,2.774463
-992.1,20,2.787518
-992.2,21,2.791147
-985.0,37,2.803702
-975.8,55,2.807421
-984.7,34,2.807465
-989.2,24,2.814496
-983.8,36,2.820029
-989.2,24,2.828104
-983.0,39,2.832804
-980.5,47,2.834764
-982.5,45,2.841942
-993.3,21,2.843715
-992.1,20,2.84862
-994.0,17,2.84866
-994.9,15,2.853575
-992.1,20,2.875904
-981.4,45,2.88243
-986.5,30,2.897852
-987.7,31,2.899886
-983.2,41,2.903347
-982.5,45,2.908618
-984.1,39,2.919781
-986.4,29,2.926948
-989.5,27,2.931412
-974.3,62,2.950435
-993.0,18,2.954141
-963.6,87,2.956383
-986.8,33,2.962666
-989.0,33,2.971994
-979.4,47,2.98677
-981.3,44,2.986845
