approx_kl,clip_fraction,clip_range,entropy_loss,ep_len_mean,ep_rew_mean,explained_variance,fps,iterations,learning_rate,loss,n_updates,policy_gradient_loss,rollout,std,time,time_elapsed,total_timesteps,train,value_loss
0.007011788,0.0749,0.2,-1.42,54.4,-977,7.95E-05,2887,2,0.0003,114000,10,-0.0105,,1,,14,40960,,188000
0.006475406,0.0799,0.2,-1.42,68.1,-972,1.43E-06,2461,3,0.0003,56700,20,-0.0115,,0.996,,24,61440,,119000
0.006888901,0.083,0.2,-1.41,112,-954,1.79E-07,2311,4,0.0003,36200,30,-0.0124,,0.987,,35,81920,,80300
0.005498595,0.0857,0.2,-1.4,157,-935,0,2261,5,0.0003,21600,40,-0.00705,,0.986,,45,102400,,43700
0.004084471,0.0456,0.2,-1.41,212,-912,0.055,2217,6,0.0003,11900,50,-0.00977,,0.989,,55,122880,,29000
0.003422114,0.0387,0.2,-1.41,251,-895,0.106,2194,7,0.0003,13000,60,-0.00633,,0.987,,65,143360,,20100
0.004026435,0.0431,0.2,-1.4,291,-877,0.222,2171,8,0.0003,12200,70,-0.00414,,0.983,,75,163840,,14100
0.003458281,0.0313,0.2,-1.39,316,-866,0.377,2158,9,0.0003,8330,80,-0.00203,,0.97,,85,184320,,11800
0.004775919,0.042,0.2,-1.39,326,-861,0.538,2150,10,0.0003,3670,90,-0.00301,,0.967,,95,204800,,9510
0.00406937,0.0444,0.2,-1.39,340,-855,0.628,2139,11,0.0003,6500,100,-0.00411,,0.973,,105,225280,,8530
0.004671458,0.0364,0.2,-1.38,381,-837,0.727,2130,12,0.0003,3060,110,-0.00228,,0.954,,115,245760,,7490
0.004315973,0.0316,0.2,-1.36,432,-814,0.759,2127,13,0.0003,4120,120,-0.00318,,0.933,,125,266240,,6710
0.003339075,0.0295,0.2,-1.34,523,-775,0.748,2119,14,0.0003,4380,130,-0.00285,,0.915,,135,286720,,5830
0.004286289,0.041,0.2,-1.32,559,-761,0.714,2108,15,0.0003,3230,140,-0.000468,,0.893,,145,307200,,5150
0.004384986,0.0543,0.2,-1.3,594,-745,0.698,2099,16,0.0003,4240,150,-0.00219,,0.88,,156,327680,,6030
