#{"t_start": 1763608715.374144, "env_id": "None"}
r,l,t
-995.9,14,0.652498
-992.3,22,0.665991
-990.3,24,0.669775
-989.4,26,0.673379
-989.5,27,0.675287
-993.9,16,0.680275
-984.8,35,0.689061
-992.2,21,0.702203
-981.3,44,0.704438
-993.1,19,0.707677
-977.7,52,0.717274
-991.4,24,0.728957
-984.0,38,0.734742
-990.2,23,0.746609
-970.10004,75,0.757
-978.6,50,0.758826
-994.4,21,0.765311
-985.9,35,0.777317
-980.4,46,0.782606
-988.7,30,0.786489
-972.5,66,0.793068
-990.6,27,0.804878
-990.5,26,0.80967
-954.7,108,0.813728
-982.1,41,0.817672
-989.4,26,0.824756
-989.1,23,0.829055
-971.2,75,0.835555
-990.2,23,0.837946
-995.0,16,0.84537
-994.9,15,0.853207
-995.9,14,0.862919
-990.2,23,0.866898
-992.3,22,0.88664
-972.60004,67,0.891772
-984.8,35,0.920319
-986.7,32,0.920475
-973.4,64,0.920505
-990.3,24,0.923347
-990.2,23,0.939996
-992.2,21,0.940063
-976.5,62,0.944623
-983.3,42,0.948555
-994.9,15,0.954575
-989.5,27,0.975032
-985.8,34,0.988311
-991.4,24,0.990219
-995.9,14,1.001233
-985.6,32,1.001295
-986.9,34,1.004999
-989.6,28,1.007014
-968.8,73,1.014256
-984.1,39,1.02178
-956.0,99,1.032401
-994.1,18,1.038282
-988.3,26,1.038333
-992.2,21,1.040299
-983.0,39,1.06059
-995.9,14,1.064214
-996.0,15,1.068046
-986.9,34,1.069919
-985.6,32,1.080625
-979.3,46,1.086001
-963.60004,87,1.086054
-987.7,31,1.089492
-995.0,16,1.096648
-990.3,24,1.104029
-983.1,40,1.111147
-990.5,26,1.111197
-992.3,22,1.125705
-985.6,32,1.127995
-992.1,20,1.133704
-994.0,17,1.135909
-986.7,32,1.139701
-986.1,37,1.154673
-966.0,78,1.158386
-986.7,32,1.171026
-991.4,24,1.173237
-980.3,45,1.173278
-990.2,23,1.182673
-988.7,30,1.189987
-983.0,39,1.208385
-991.0,20,1.210603
-989.0,33,1.216379
-991.4,24,1.216439
-992.0,19,1.218227
-973.10004,61,1.225351
-995.0,16,1.24027
-988.6,29,1.244064
-991.1,21,1.255737
-969.60004,70,1.257657
-993.0,18,1.25944
-986.1,37,1.277318
-984.6,33,1.279466
-975.4,62,1.2886
-971.9,71,1.290551
-984.6,33,1.305486
-988.3,26,1.305545
-986.5,30,1.314575
-992.1,20,1.316504
-992.0,19,1.323607
-979.2,45,1.323666
-983.4,43,1.334408
-989.4,26,1.338099
-986.8,33,1.338165
